pc,HIP_1,HD_1,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_1,Mbol,log(L/Lsun),Habex,HIP_1a,L-A,L-B,Hab,SR1,SR3,lists_1,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_1b,Teff,HD_1a,notes,K,eTeff,ref_Teff,BCv_1a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_1a,Sample,Name,solRad,_RAJ2000,_DEJ2000,RAhms,DEdms
17.741,HIP_57507_,HD_102438_,6.48,0.681,0.001,56.3677,0.0342,GaiaDR2,5.24,Sun-like,G6V,2006AJ....132..161G,-0.115,5.12,-0.152,_,HIP_57507_,1,0,0,0,0,1,-4.88,BoroSaikia18,2.7,Glebocki05,0.97,G6V,HIP_57507_,1,HD_102438_,slightly active,5560,13,2008A&A...487..373S,,4.41,0.03,2008A&A...487..373S,-0.29,0.01,2008A&A...487..373S,0.905,0,1,2,1,1,WANT,HIP_57507,1.06676222197191,176.81587,-30.28651,11 47 15.99,-30 17 09.4
21.207,HIP_14150_,HD_18803_,6.62,0.696,0.009,47.1551,0.0603,GaiaDR2,4.99,Sun-like,G6V,2003AJ....126.2048G,-0.115,4.87,-0.053,_,HIP_14150_,1,0,0,0,0,1,-4.905,Isaacson10,0.9,Glebocki05,0.97,G6V,HIP_14150_,1,HD_18803_,quiet,5666,15,2005PASJ...57...27T,,4.46,0.04,2005PASJ...57...27T,0.15,0.03,2005PASJ...57...27T,0.976,0,1,2,1,1,WANT,HIP_14150,0.950752831098101,45.608444,26.60924,03 02 25.87,+26 36 34.7
22.03,HIP_3497_,HD_4308_,6.55,0.655,0.006,45.393,0.022,GaiaDR2,4.83,Sun-like,G6V_Fe-0.9,2006AJ....132..161G,-0.115,4.72,0.008,_,HIP_3497_,1,0,0,0,0,1,-5.05,Henry96,2.7,Glebocki05,0.97,G6V_Fe-0.9,HIP_3497_,1,HD_4308_,quiet,5685,13,2006A&A...458..873S,,4.49,0.01,2006A&A...458..873S,-0.31,0.01,2006A&A...458..873S,1.04,0,1,2,1,1,WANT,HIP_3497,0.887294168617217,11.163615,-65.64952,00 44 39.04,-65 38 51.8
17.1,HIP_62523_,HD_111395_,6.29,0.703,0.002,58.4809,0.0501,GaiaDR2,5.13,Sun-like,G7V,2003AJ....126.2048G,-0.125,5.0,-0.104,_,HIP_62523_,1,0,0,0,0,1,-4.541,Isaacson10,2.8,Glebocki05,0.96,G7V,HIP_62523_,1,HD_111395_,active,5632,10,2005PASJ...57...27T,,4.49,0.03,2005PASJ...57...27T,0.11,0.02,2005PASJ...57...27T,0.932,0,1,2,1,1,WANT,HIP_62523,0.887294168617217,192.19603,24.840225,12 48 47.26,+24 50 25.7
16.796,HIP_82588_,HD_152391_,6.65,0.749,0.011,59.5382,0.0328,GaiaDR2,5.52,Sun-like,G8.5V(k),2006AJ....132..161G,-0.15,5.37,-0.254,_,HIP_82588_,1,0,0,0,0,1,-4.448,Baliunas96,3.1,Glebocki05,0.92,G8.5V(k),HIP_82588_,1,HD_152391_,active,5450,31,2010MNRAS.403.1368G,,4.51,0.07,2010MNRAS.403.1368G,0,0.02,2010MNRAS.403.1368G,0.838,0,1,2,1,1,WANT,HIP_82588,0.847359352649497,253.24501,-0.0264211,16 52 59.22,-00 01 22.1
17.565,HIP_1292_,HD_1237_,6.59,0.749,0.004,56.9319,0.0235,GaiaDR2,5.37,Sun-like,G8.5V(k),2006AJ....132..161G,-0.15,5.22,-0.191,_,HIP_1292_,1,0,0,0,0,1,-4.435,BoroSaikia18,3.6,Glebocki05,0.92,G8.5V(k),HIP_1292_,1,HD_1237_,active,5514,36,2008A&A...487..373S,,4.5,0.07,2008A&A...487..373S,0.07,0.03,2008A&A...487..373S,0.88,0,1,2,1,1,WANT,HIP_1292,0.867096887509786,4.052823,-79.85118,00 16 11.24,-79 51 03.7
20.073,HIP_113421_,HD_217107_,6.17,0.744,0.006,49.817,0.0574,GaiaDR2,4.66,Sun-like,G8IV-V,2003AJ....126.2048G,-0.14,4.52,0.089,_,HIP_113421_,0,0,0,0,1,1,-5.086,Isaacson10,1.7,Glebocki05,0.94,G8IV-V,HIP_113421_,1,HD_217107_,quiet,5671,23,2013A&A...554A..84M,,4.51,0.05,2013A&A...554A..84M,0.33,0.02,2013A&A...554A..84M,1.148,0,1,2,1,1,WANT,HIP_113421,0.847359352649497,344.56476,-2.395385,22 58 15.54,-02 23 43.2
17.15,HIP_38784_,HD_62613_,6.55,0.719,0.007,58.3088,0.0244,GaiaDR2,5.38,Sun-like,G8V,1979PASP...91...83C,-0.14,5.24,-0.199,_,HIP_38784_,1,0,0,0,0,1,-4.84,Wright04,1.8,Glebocki05,0.94,G8V,HIP_38784_,1,HD_62613_,slightly active,5502,70,2008MNRAS.384..173F,,4.52,0.1,2008MNRAS.384..173F,-0.08,0.07,2008MNRAS.384..173F,0.875,0,1,2,1,1,WANT,HIP_38784,0.82807109893411,119.07179,80.26554,07 56 18.87,+80 15 55.2
19.309,HIP_100925_,HD_194640_,6.61,0.724,0.014,51.7896,0.0486,GaiaDR2,5.18,Sun-like,G8V,2006AJ....132..161G,-0.14,5.04,-0.12,_,HIP_100925_,1,0,0,0,0,1,-4.9,Henry96,1.8,Glebocki05,0.94,G8V,HIP_100925_,1,HD_194640_,quiet,5530,44,2005ApJS..159..141V,,4.49,0.06,2005ApJS..159..141V,-0.03,0.03,2005ApJS..159..141V,0.948,0,1,2,1,1,WANT,HIP_100925,0.887294168617217,306.93436,-30.867846,20 27 44.25,-30 51 59.7
18.209,HIP_55846_,HD_99491_,6.49,0.778,0.015,54.9177,0.0463,GaiaDR2,5.19,Sun-like,G9IV-V,1986ApJ...304..688A,-0.16,5.03,-0.115,_,HIP_55846_,1,0,0,0,0,1,-4.878,Isaacson10,2.3,Glebocki05,0.9,G9IV-V,HIP_55846_,1,HD_99491_,slightly active,5415,39,2010MNRAS.403.1368G,,4.37,0.05,2010MNRAS.403.1368G,0.3,0.03,2010MNRAS.403.1368G,0.995,0,1,2,1,1,WANT,HIP_55846,1.16968151686145,171.68884,3.013102,11 26 45.75,+03 00 45.6
8.786,HIP_84720_,HD_156274_,5.47,0.764,0.4,113.8158,0.1227,GaiaDR2,5.75,Sun-like,G9V,1984ApJS...55..657C,-0.16,5.59,-0.34,_,HIP_84720_,1,0,0,0,0,1,-4.941,BoroSaikia18,1.8,Glebocki05,0.9,G9V,HIP_84720_,0,HD_156274_,quiet,5273,60,2013ApJ...764...78R,,4.53,0.03,2013ApJ...764...78R,-0.32,0.05,2013ApJ...764...78R,0.81,0,1,2,1,1,WANT,HIP_84720,0.809221899476192,259.76596,-46.636234,17 19 02.95,-46 38 11.4
24.301,HIP_79492_,HD_145958_,6.68,0.764,0.001,41.151,0.0413,GaiaDR2,4.75,Sun-like,G9V,2003AJ....126.2048G,-0.16,4.59,0.059,_,HIP_79492_,1,0,0,0,0,1,-4.955,Isaacson10,1.5,Glebocki05,0.9,G9V,HIP_79492_,1,HD_145958_,quiet,5436,44,2005ApJS..159..141V,,4.55,0.06,2005ApJS..159..141V,-0.03,0.03,2005ApJS..159..141V,1.207,0,1,2,1,1,WANT,HIP_79492,0.772800914445948,243.32689,13.526911,16 13 18.34,+13 31 40.5
10.358,HIP_37826_,HD_62509_,1.16,0.991,0.005,96.54,0.27,HIP2,1.08,Sun-like,K0IIIb,1989ApJS...71..245K,-0.19,0.89,1.539,_,HIP_37826_,0,0,0,0,1,1,-5.21,Duncan91,1.6,Glebocki05,2.03,K0IIIb,HIP_37826_,0,HD_62509_,quiet,4858,60,2014A&A...564A.133J,,2.88,0.05,2014A&A...564A.133J,0.13,0.01,2014A&A...564A.133J,8.299,0,1,2,1,1,WANT,HIP_37826,36.1466144905251,116.32896,28.0262,07 45 19.36,+28 01 34.7
23.94,HIP_99031_,HD_191026_,5.38,0.85,0.0,41.7718,0.0845,GaiaDR2,3.48,Sun-like,K0IV,2003AJ....126.2048G,-0.19,3.29,0.578,_,HIP_99031_,1,0,0,0,0,1,-4.976,Gray03,2.6,Glebocki05,1.22,K0IV,HIP_99031_,1,HD_191026_,quiet,5108,26,2015A&A...574A..50J,,3.74,0.07,2015A&A...574A..50J,-0.02,0.05,2015A&A...574A..50J,2.485,0,1,2,1,1,WANT,HIP_99031,4.98962178613875,301.5907,35.97247,20 06 21.93,+35 58 24.7
18.36,HIP_33690_,HD_53143_,6.81,0.786,0.024,54.4655,0.0233,GaiaDR2,5.49,Sun-like,K0IV-V(k),2006AJ....132..161G,-0.19,5.3,-0.224,_,HIP_33690_,1,0,0,0,0,1,-4.507,Schroder09,3.8,Glebocki05,0.97,K0IV-V(k),HIP_33690_,1,HD_53143_,active,5462,54,2005A&A...437.1127S,,4.47,0.16,2005A&A...437.1127S,0.22,0.06,2005A&A...437.1127S,0.863,0,1,2,1,1,WANT,HIP_33690,0.929111054478178,104.998566,-61.33618,06 59 59.85,-61 20 12.6
15.61,HIP_95319_,HD_182488_,6.37,0.804,0.006,64.0623,0.0218,GaiaDR2,5.4,Sun-like,K0V,1989ApJS...71..245K,-0.19,5.21,-0.189,_,HIP_95319_,1,0,0,0,0,1,-5.015,Isaacson10,1.2,Glebocki05,0.87,K0V,HIP_95319_,1,HD_182488_,quiet,5417,15,2005PASJ...57...27T,,4.58,0.04,2005PASJ...57...27T,0.21,0.02,2005PASJ...57...27T,0.913,0,1,2,1,1,WANT,HIP_95319,0.721219777066528,290.89172,33.221966,19 23 33.96,+33 13 17.7
16.877,HIP_116085_,HD_221354_,6.76,0.839,0.003,59.2528,0.031,GaiaDR2,5.62,Sun-like,K0V,2003AJ....126.2048G,-0.19,5.43,-0.277,_,HIP_116085_,1,0,0,0,0,1,-5.066,Isaacson10,0.6,Glebocki05,0.87,K0V,HIP_116085_,1,HD_221354_,quiet,5175,43,2015A&A...580A..24D,,4.28,0.16,2015A&A...580A..24D,0.02,0.06,2015A&A...580A..24D,0.904,0,1,2,1,1,WANT,HIP_116085,1.4390226419911,352.84253,59.165516,23 31 20.95,+59 09 54.9
14.371,HIP_78775_,HD_144579_,6.66,0.734,0.001,69.587,0.0258,GaiaDR2,5.87,Sun-like,K0V_Fe-1.2,2003AJ....126.2048G,-0.19,5.68,-0.377,_,HIP_78775_,1,0,0,0,0,1,-4.985,Isaacson10,1.8,Glebocki05,0.87,K0V_Fe-1.2,HIP_78775_,1,HD_144579_,quiet,5321,44,2013ApJ...764...78R,,4.55,0.01,2013ApJ...764...78R,-0.64,0.06,2013ApJ...764...78R,0.762,0,1,2,1,1,WANT,HIP_78775,0.772800914445948,241.23663,39.15651,16 04 57.22,+39 09 23.0
15.693,HIP_66765_,HD_118972_,6.92,0.855,0.007,63.7208,0.0573,GaiaDR2,5.94,Sun-like,K0V(k),2006AJ....132..161G,-0.19,5.75,-0.405,_,HIP_66765_,1,0,0,0,0,1,-4.424,BoroSaikia18,4.4,Glebocki05,0.87,K0V(k),HIP_66765_,1,HD_118972_,active,5191,44,2005ApJS..159..141V,,4.54,0.06,2005ApJS..159..141V,0,0.03,2005ApJS..159..141V,0.776,0,1,2,1,1,WANT,HIP_66765,0.790801760180697,205.26738,-34.464157,13 41 04.03,-34 27 49.5
10.358,HIP_13402_,HD_17925_,6.05,0.862,0.015,96.54,0.0435,GaiaDR2,5.97,Sun-like,K1.5V(k),2006AJ....132..161G,-0.245,5.73,-0.395,49,HIP_13402_,0,0,2,0,0,2,-4.311,Baliunas96,6.2,Glebocki05,0.82,K1.5V(k),HIP_13402_,1,HD_17925_,active,5167,44,2013ApJ...764...78R,,4.58,0.02,2013ApJ...764...78R,0.18,0.08,2013ApJ...764...78R,0.792,0,1,1,1,2,WANT,HIP_13402,0.721219777066528,43.13387,-12.769714,02 52 31.89,-12 46 09.3
12.28,HIP_26779_,HD_37394_,6.23,0.84,0.006,81.43,0.0487,GaiaDR2,5.78,Sun-like,K1V,1967AJ.....72.1334C,-0.23,5.55,-0.324,69,HIP_26779_,0,0,1,0,0,1,-4.454,Baliunas96,3,Brewer16,0.88,K1V,HIP_26779_,,HD_37394_,,5257,29,2013ApJ...764...78R,,4.55,0.02,2013ApJ...764...78R,0.08,0.07,2013ApJ...764...78R,0.83,0,1,2,1,1,WANT,HIP_26779,0.772800914445948,85.33473,53.481056,05 41 20.33,+53 28 56.4
14.673,HIP_33817_,HD_52698_,6.71,0.882,0.022,68.1526,0.0746,GaiaDR2,5.88,Sun-like,K1V(k),2006AJ....132..161G,-0.23,5.65,-0.363,_,HIP_33817_,1,0,0,0,0,1,-4.59,Wright04,2.9,Glebocki05,0.85,K1V(k),HIP_33817_,1,HD_52698_,active,5177,51,2005A&A...437.1127S,,4.44,0.09,2005A&A...437.1127S,0.16,0.06,2005A&A...437.1127S,0.818,0,1,2,1,1,WANT,HIP_33817,0.995560431583035,105.30725,-25.948717,07 01 13.61,-25 56 55.7
6.016,HIP_99461_,HD_191408_,5.32,0.868,0.018,166.2274,0.1256,GaiaDR2,6.42,Sun-like,K2.5V,2006AJ....132..161G,-0.315,6.11,-0.547,_,HIP_99461_,1,0,0,0,0,1,-4.982,Isaacson10,0,Glebocki05,0.76,K2.5V,HIP_99461_,1,HD_191408_,quiet,4969,66,2013ApJ...764...78R,,4.62,0.02,2013ApJ...764...78R,-0.52,0.05,2013ApJ...764...78R,0.718,0,1,2,1,1,WANT,HIP_99461,0.657760254242526,302.79974,-36.10121,20 11 11.61,-36 05 50.6
18.301,HIP_49699_,HD_87883_,7.56,0.965,0.013,54.6421,0.0369,GaiaDR2,6.25,Sun-like,K2.5V,2003AJ....126.2048G,-0.315,5.93,-0.477,_,HIP_49699_,0,0,0,0,1,1,-4.999,Gray03,5.5,Glebocki05,0.76,K2.5V,HIP_49699_,1,HD_87883_,quiet,4958,44,2005ApJS..159..141V,,4.56,0.06,2005ApJS..159..141V,0.07,0.03,2005ApJS..159..141V,0.783,0,1,1,1,1,WANT,HIP_49699,0.755209817985267,152.17975,34.24226,10 08 43.18,+34 14 32.7
8.193,HIP_7751_,HD_10360_,5.76,0.88,0.4,122.0552,0.0531,GaiaDR2,6.19,Sun-like,K2V,2006AJ....132..161G,-0.26,5.93,-0.477,_,HIP_7751_,1,0,0,0,0,1,-4.753,Henry96,1.8,Glebocki05,0.78,K2V,HIP_7751_,1,HD_10360_,slightly active,5077,49,2013ApJ...764...78R,,4.62,0.02,2013ApJ...764...78R,-0.24,0.03,2013ApJ...764...78R,0.746,0,1,2,1,1,WANT,HIP_7751,0.657760254242526,24.948095,-56.1964,01 39 47.24,-56 11 47.2
14.1,HIP_37349_,HD_61606_,7.18,0.891,0.015,70.9216,0.0508,GaiaDR2,6.43,Sun-like,K3-V,2003AJ....126.2048G,-0.37,6.06,-0.53,_,HIP_37349_,1,0,0,0,0,1,-4.403,BoroSaikia18,3.8,Glebocki05,0.75,K3-V,HIP_37349_,1,HD_61606_,active,4937,37,2013ApJ...764...78R,,4.6,0.02,2013ApJ...764...78R,0,0.05,2013ApJ...764...78R,0.743,0,1,2,1,1,WANT,HIP_37349,0.688759539990568,114.9972,-3.597507,07 39 59.29,-03 35 48.6
10.908,HIP_117712_,HD_223778_,6.36,0.977,0.006,91.6755,0.0343,GaiaDR2,6.17,Sun-like,K3V,1989ApJS...71..245K,-0.37,5.8,-0.425,_,HIP_117712_,1,0,0,0,0,1,-4.518,Gray03,3,Glebocki05,0.75,K3V,HIP_117712_,1,HD_223778_,active,4754,80,2011A&A...530A.138C,,4.71,0.04,2004A&A...420..183A,-0.61,0.06,2016ApJ...826..171G,0.904,0,1,2,1,1,WANT,HIP_117712,0.534647606968182,358.1055,75.544586,23 52 24.52,+75 32 40.2
12.783,HIP_46580_,HD_82106_,7.2,1.002,0.014,78.229,0.0473,GaiaDR2,6.67,Sun-like,K3V,2003AJ....126.2048G,-0.37,6.3,-0.623,_,HIP_46580_,1,0,0,0,0,1,-4.495,BoroSaikia18,1.8,Glebocki05,0.75,K3V,HIP_46580_,1,HD_82106_,active,4868,44,2005ApJS..159..141V,,4.8,0.06,2005ApJS..159..141V,0.11,0.03,2005ApJS..159..141V,0.686,0,1,2,1,1,WANT,HIP_46580,0.434577890337848,142.47844,5.655134,09 29 55.12,+05 39 17.5
13.243,HIP_71181_,HD_128165_,7.24,0.997,0.018,75.5094,0.0242,GaiaDR2,6.63,Sun-like,K3V,1953ApJ...117..313J,-0.37,6.26,-0.608,_,HIP_71181_,1,0,0,0,0,1,-4.858,BoroSaikia18,3.6,Glebocki05,0.75,K3V,HIP_71181_,1,HD_128165_,slightly active,4809,44,2005ApJS..159..141V,,4.67,0.06,2005ApJS..159..141V,0,0.03,2005ApJS..159..141V,0.715,0,1,2,1,1,WANT,HIP_71181,0.586229443660743,218.37029,52.90879,14 33 29.05,+52 54 29.5
13.619,HIP_79537_,HD_145417_,7.53,0.815,0.006,73.4265,0.0374,GaiaDR2,6.86,Sun-like,K3V_Fe-1.7,2006AJ....132..161G,-0.37,6.49,-0.7,_,HIP_79537_,1,0,0,0,0,1,-5.179,BoroSaikia18,3.6,Glebocki05,0.75,K3V_Fe-1.7,HIP_79537_,1,HD_145417_,quiet,5006,53,2011A&A...526A..99S,,4.82,0.12,2011A&A...526A..99S,-1.23,0.04,2011A&A...526A..99S,0.594,0,1,2,1,1,WANT,HIP_79537,0.415018663321481,243.45233,-57.57051,16 13 49.49,-57 34 01.5
12.117,HIP_55691_,HD_99279_,7.22,1.271,0.03,82.5253,1.512,GaiaDR2,6.8,Sun-like,K5-V,2006AJ....132..161G,-0.63,6.17,-0.573,_,HIP_55691_,1,0,0,0,0,1,-4.921,Gray06,_,_,0.69,K5-V,HIP_55691_,0,HD_99279_,quiet,4375,NA,1997A&A...323..809F,,4.6,NA,NA,0.13,0.08,1997A&A...323..809F,0.9,0,2,1,1,1,WANT,HIP_55691,0.688759539990568,171.16798,-61.647568,11 24 40.94,-61 38 51.9
8.231,HIP_113576_,HD_217357_,7.88,1.379,0.018,121.4918,0.0507,GaiaDR2,8.3,Sun-like,K7+V_k,2006AJ....132..161G,-0.95,7.35,-1.045,_,HIP_113576_,0,1,0,0,0,1,-4.643,Gray06,2.7,Glebocki05,0.62,K7+V_k,HIP_113576_,1,HD_217357_,active,3763,118,2005ApJ...626..446R,,4.73,0.01,2007ApJS..168..297T,-0.08,0.07,2019A&A...627A.138A,0.706,0,1,2,1,1,WANT,HIP_113576,0.510584500788716,345.06717,-22.524347,23 00 16.69,-22 31 28.2
